Run	alpha	regularization	factors	iterations	precision	recall	f1	map@k
run_116	40	0.01	250	5	0.1354	0.1354	0.1354	0.0483
run_117	25	1.0	100	25	0.1247	0.1247	0.1247	0.0401
run_118	55	0.1	750	10	0.1665	0.1665	0.1665	0.0683
run_119	55	10.0	750	10	0.1694	0.1694	0.1694	0.0706
run_120	55	0.001	750	50	0.1872	0.1872	0.1872	0.0799
run_121	40	0.001	1000	50	0.1359	0.1359	0.1359	0.0650
run_122	40	0.01	1000	10	0.1323	0.1323	0.1323	0.0599
run_123	55	0.001	500	25	0.1882	0.1882	0.1882	0.0739
run_124	25	0.01	1000	10	0.1049	0.1049	0.1049	0.0485
run_125	25	0.01	750	10	0.1324	0.1324	0.1324	0.0570
run_126	10	10.0	750	50	0.0772	0.0772	0.0772	0.0290
run_127	55	0.001	500	5	0.1444	0.1444	0.1444	0.0537
run_128	40	0.01	1000	25	0.1378	0.1378	0.1378	0.0646
run_129	55	0.01	100	10	0.1248	0.1248	0.1248	0.0405
run_130	10	0.01	750	10	0.0720	0.0720	0.0720	0.0262
run_131	55	0.1	750	5	0.1366	0.1366	0.1366	0.0536
run_132	55	10.0	250	50	0.1631	0.1631	0.1631	0.0598
run_133	55	1.0	100	25	0.1281	0.1281	0.1281	0.0424
run_134	10	1.0	100	50	0.1173	0.1173	0.1173	0.0350
run_135	25	1.0	750	10	0.1295	0.1295	0.1295	0.0550
run_136	10	1.0	750	50	0.0769	0.0769	0.0769	0.0293
run_137	25	0.1	500	5	0.1245	0.1245	0.1245	0.0476
run_138	55	0.1	100	5	0.1191	0.1191	0.1191	0.0381
run_139	10	0.001	500	25	0.1025	0.1025	0.1025	0.0367
run_140	25	0.1	500	50	0.1640	0.1640	0.1640	0.0686
run_141	10	0.01	500	50	0.1037	0.1037	0.1037	0.0372
run_142	55	1.0	750	5	0.1380	0.1380	0.1380	0.0549
run_143	40	0.1	100	50	0.1289	0.1289	0.1289	0.0426
run_144	10	0.1	500	5	0.0846	0.0846	0.0846	0.0266
run_145	55	0.001	1000	5	0.1220	0.1220	0.1220	0.0503
run_146	10	0.01	250	5	0.1047	0.1047	0.1047	0.0318
run_147	55	10.0	250	10	0.1538	0.1538	0.1538	0.0561
run_148	55	1.0	250	10	0.1523	0.1523	0.1523	0.0546
run_149	55	0.01	750	5	0.1362	0.1362	0.1362	0.0536
run_150	10	0.1	1000	10	0.0500	0.0500	0.0500	0.0188
run_151	40	0.1	250	5	0.1343	0.1343	0.1343	0.0471
run_152	10	1.0	100	10	0.1163	0.1163	0.1163	0.0348
run_153	40	0.001	250	50	0.1607	0.1607	0.1607	0.0601
run_154	25	0.1	500	10	0.1484	0.1484	0.1484	0.0600
run_155	40	0.001	1000	5	0.1143	0.1143	0.1143	0.0491
run_156	40	0.1	500	5	0.1400	0.1400	0.1400	0.0536
run_157	25	0.001	100	50	0.1257	0.1257	0.1257	0.0403
run_158	25	1.0	500	25	0.1581	0.1581	0.1581	0.0657
run_159	25	1.0	1000	25	0.1081	0.1081	0.1081	0.0505
run_160	25	1.0	250	5	0.1294	0.1294	0.1294	0.0453
run_161	10	1.0	100	25	0.1169	0.1169	0.1169	0.0350
run_162	10	0.001	250	5	0.1043	0.1043	0.1043	0.0316
run_163	10	0.1	1000	25	0.0513	0.0513	0.0513	0.0199
run_164	10	1.0	1000	10	0.0503	0.0503	0.0503	0.0185
