Run	model	alpha	regularization	factors	iterations	precision	recall	f1	map@k
run_777	lmf	83	0.03418525100738714	844	97	0.0034	0.0034	0.0034	0.0004
run_778	lmf	72	0.004140714789183796	973	73	0.0034	0.0034	0.0034	0.0004
run_779	lmf	87	0.009800356001854067	266	43	0.0034	0.0034	0.0034	0.0004
run_780	bpr	12	0.0002574049420728351	706	51	0.0537	0.0537	0.0537	0.0143
run_781	bpr	12	0.001184076684474499	71	37	0.0827	0.0827	0.0827	0.0216
run_782	bpr	40	0.007727697764841858	884	62	0.0814	0.0814	0.0814	0.0214
run_783	bpr	28	0.014596446129827917	183	98	0.0754	0.0754	0.0754	0.0196
run_784	bpr	45	0.006005782802837035	273	7	0.0666	0.0666	0.0666	0.0173
run_785	bpr	76	0.0030477701614827495	651	67	0.0794	0.0794	0.0794	0.0212
run_786	lmf	81	0.016067536443889755	887	77	0.0034	0.0034	0.0034	0.0004
run_787	bpr	94	0.014605808738368559	947	17	0.0667	0.0667	0.0667	0.0172
run_788	bpr	74	0.004773593701726633	866	68	0.0838	0.0838	0.0838	0.0223
run_789	lmf	71	0.0003875097425340248	465	93	0.0034	0.0034	0.0034	0.0004
run_790	bpr	79	0.00017898421963222756	753	48	0.0789	0.0789	0.0789	0.0209
run_791	lmf	93	0.0038903673413643526	70	52	0.0010	0.0010	0.0010	0.0002
run_792	bpr	44	0.004204587105274869	396	45	0.0790	0.0790	0.0790	0.0212
run_793	lmf	52	0.04971508958250133	755	55	0.0034	0.0034	0.0034	0.0004
run_794	bpr	41	0.001318477002474337	327	87	0.0656	0.0656	0.0656	0.0161
run_795	bpr	39	0.017875977056619564	733	56	0.0712	0.0712	0.0712	0.0191
run_796	bpr	60	0.03197104043588743	739	12	0.0297	0.0297	0.0297	0.0068
run_797	lmf	19	0.007228947242628296	924	52	0.0034	0.0034	0.0034	0.0004
run_798	lmf	56	0.0007737905363054741	394	10	0.0034	0.0034	0.0034	0.0004
run_799	bpr	15	0.010184444616984416	548	38	0.0765	0.0765	0.0765	0.0200
run_800	lmf	18	0.0075262120528333315	788	34	0.0034	0.0034	0.0034	0.0004
run_801	bpr	71	0.0010645961756053808	936	9	0.0346	0.0346	0.0346	0.0085
run_802	bpr	21	0.031102659125946456	571	68	0.0663	0.0663	0.0663	0.0170
run_803	bpr	89	0.01375808987599421	624	23	0.0728	0.0728	0.0728	0.0188
run_804	bpr	95	0.0012137641256905454	186	55	0.0768	0.0768	0.0768	0.0205
run_805	bpr	65	0.006563041211763403	864	33	0.0725	0.0725	0.0725	0.0188
run_806	lmf	12	0.013393642761200638	872	66	0.0034	0.0034	0.0034	0.0004
run_807	bpr	21	0.0009923708380483035	913	85	0.0832	0.0832	0.0832	0.0222
run_808	bpr	21	0.003073523660583465	199	78	0.0751	0.0751	0.0751	0.0201
run_809	lmf	70	0.0030066439447420847	579	11	0.0034	0.0034	0.0034	0.0004
run_810	lmf	74	0.004458446674126948	390	43	0.0034	0.0034	0.0034	0.0004
run_811	lmf	74	0.01525085372883398	421	29	0.0034	0.0034	0.0034	0.0004
run_812	lmf	82	0.001688431055277627	420	73	0.0034	0.0034	0.0034	0.0004
run_813	lmf	33	0.003237171475316168	395	37	0.0034	0.0034	0.0034	0.0004
run_814	bpr	79	0.008476810370186253	579	45	0.0797	0.0797	0.0797	0.0211
run_815	lmf	41	0.0032092991138001903	321	6	0.0034	0.0034	0.0034	0.0004
run_816	lmf	50	0.010187726275459726	682	58	0.0034	0.0034	0.0034	0.0004
run_817	bpr	98	0.007008440742503236	455	33	0.0789	0.0789	0.0789	0.0207
run_818	bpr	98	0.001178540949265547	476	17	0.0703	0.0703	0.0703	0.0183
run_819	lmf	65	0.0010472912550638378	343	23	0.0034	0.0034	0.0034	0.0004
run_820	bpr	58	0.002293305680414219	521	54	0.0756	0.0756	0.0756	0.0202
run_821	lmf	42	0.010280954470461113	309	48	0.0034	0.0034	0.0034	0.0004
run_822	lmf	92	0.012799022421059143	879	52	0.0034	0.0034	0.0034	0.0004
